Episode no = 1450; won: False; Q(s,a) = 81.14717833754754; reward = -471.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2022-04-29 09:16:02
Episode no = 1460; won: False; Q(s,a) = 90.48497393477149; reward = -378.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2022-04-29 09:16:11
Episode no = 1470; won: False; Q(s,a) = 81.43332739427126; reward = -308.0; and epsilon = 0.804, win percentage = 0.0, 2022-04-29 09:16:21
Episode no = 1480; won: False; Q(s,a) = 84.31416323530875; reward = -256.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2022-04-29 09:16:32
Episode no = 1490; won: False; Q(s,a) = 82.25072711522702; reward = -388.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2022-04-29 09:16:47
Episode no = 1500; won: False; Q(s,a) = 67.84460272229714; reward = -492.0; and epsilon = 0.8, win percentage = 0.0, 2022-04-29 09:16:58
Episode no = 1510; won: False; Q(s,a) = 82.73792030744208; reward = -358.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2022-04-29 09:17:16
Episode no = 1520; won: False; Q(s,a) = 87.12864857794881; reward = -488.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2022-04-29 09:17:27
Episode no = 1530; won: False; Q(s,a) = 87.74464779790611; reward = -468.0; and epsilon = 0.796, win percentage = 0.0, 2022-04-29 09:17:40
Episode no = 1540; won: False; Q(s,a) = 77.11182441731948; reward = -476.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2022-04-29 09:17:55
Episode no = 1550; won: False; Q(s,a) = 77.03704098695817; reward = -476.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2022-04-29 09:18:03
Episode no = 1560; won: False; Q(s,a) = 89.12752372923147; reward = -374.0; and epsilon = 0.792, win percentage = 0.0, 2022-04-29 09:18:16
Episode no = 1570; won: False; Q(s,a) = 90.69299853494171; reward = -296.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2022-04-29 09:18:27
Episode no = 1580; won: False; Q(s,a) = 87.14569598510548; reward = -461.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2022-04-29 09:18:39
Episode no = 1590; won: False; Q(s,a) = 78.412772785981; reward = -391.0; and epsilon = 0.788, win percentage = 0.0, 2022-04-29 09:18:50
Episode no = 1600; won: False; Q(s,a) = 81.29742662031634; reward = -390.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2022-04-29 09:19:01
Episode no = 1610; won: False; Q(s,a) = 89.94971384795942; reward = -438.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2022-04-29 09:19:12
Episode no = 1620; won: False; Q(s,a) = 95.53057699588587; reward = -439.0; and epsilon = 0.784, win percentage = 0.0, 2022-04-29 09:19:23
Episode no = 1630; won: False; Q(s,a) = 67.51886005464013; reward = -484.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2022-04-29 09:19:38
Episode no = 1640; won: False; Q(s,a) = 105.28075340959276; reward = -261.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2022-04-29 09:19:51
Episode no = 1650; won: False; Q(s,a) = 89.09921030810807; reward = -316.0; and epsilon = 0.78, win percentage = 0.0, 2022-04-29 09:20:02
Episode no = 1660; won: False; Q(s,a) = 90.38120062256161; reward = -366.0; and epsilon = 0.7786666666666666, win percentage = 0.0, 2022-04-29 09:20:16
Episode no = 1670; won: False; Q(s,a) = 95.82469619574319; reward = -415.0; and epsilon = 0.7773333333333333, win percentage = 0.0, 2022-04-29 09:20:27
Episode no = 1680; won: False; Q(s,a) = 88.59308798735312; reward = -440.0; and epsilon = 0.776, win percentage = 0.0, 2022-04-29 09:20:39
Episode no = 1690; won: False; Q(s,a) = 102.13163973659842; reward = -388.0; and epsilon = 0.7746666666666666, win percentage = 0.0, 2022-04-29 09:21:01
Episode no = 1700; won: False; Q(s,a) = 90.66974103214899; reward = -434.0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2022-04-29 09:21:13
Episode no = 1710; won: False; Q(s,a) = 100.48764007287977; reward = -477.0; and epsilon = 0.772, win percentage = 0.0, 2022-04-29 09:21:22
Episode no = 1720; won: False; Q(s,a) = 106.01621109882205; reward = -444.0; and epsilon = 0.7706666666666666, win percentage = 0.0, 2022-04-29 09:21:42
Episode no = 1730; won: False; Q(s,a) = 99.20392269920877; reward = -426.0; and epsilon = 0.7693333333333333, win percentage = 0.0, 2022-04-29 09:21:59
Episode no = 1740; won: False; Q(s,a) = -156.6195812773379; reward = -461.0; and epsilon = 0.768, win percentage = 0.0, 2022-04-29 09:22:09
Episode no = 1750; won: False; Q(s,a) = 101.84515750486051; reward = -348.0; and epsilon = 0.7666666666666666, win percentage = 0.0, 2022-04-29 09:22:28
Episode no = 1760; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.7653333333333333, win percentage = 0.0, 2022-04-29 09:22:38
Episode no = 1770; won: False; Q(s,a) = 140.55058173523446; reward = -474.0; and epsilon = 0.764, win percentage = 0.0, 2022-04-29 09:22:48
Episode no = 1780; won: False; Q(s,a) = 97.82793021924499; reward = -349.0; and epsilon = 0.7626666666666666, win percentage = 0.0, 2022-04-29 09:23:00
Episode no = 1790; won: False; Q(s,a) = 90.52663604000422; reward = -485.0; and epsilon = 0.7613333333333333, win percentage = 0.0, 2022-04-29 09:23:21
Episode no = 1800; won: False; Q(s,a) = 96.06334170997165; reward = -380.0; and epsilon = 0.76, win percentage = 0.0, 2022-04-29 09:23:35
Episode no = 1810; won: False; Q(s,a) = 113.04937927178423; reward = -355.0; and epsilon = 0.7586666666666666, win percentage = 0.0, 2022-04-29 09:23:54
Episode no = 1820; won: False; Q(s,a) = 95.220702123512; reward = -477.0; and epsilon = 0.7573333333333333, win percentage = 0.0, 2022-04-29 09:24:06
Episode no = 1830; won: False; Q(s,a) = 105.92124979607833; reward = -490.0; and epsilon = 0.756, win percentage = 0.0, 2022-04-29 09:24:19
Episode no = 1840; won: False; Q(s,a) = 111.13010882818345; reward = -391.0; and epsilon = 0.7546666666666667, win percentage = 0.0, 2022-04-29 09:24:32
Episode no = 1850; won: False; Q(s,a) = 105.9868755186504; reward = -440.0; and epsilon = 0.7533333333333333, win percentage = 0.0, 2022-04-29 09:24:40
